PC,Machine,Ins,Type,Operands,zero,ra,sp,gp,tp,t0,t1,t2,s0,s1,a0,a1,a2,a3,a4,a5,a6,a7,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,t3,t4,t5,t6
0xcbc,33460601,xor,LOGICAL,"a2, a2, a6",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x23d7966c,0x362155f2,0xf7c0d550,0x6347511d,0x2580b2c0,0x87f1ca5c,0x22011460,0x0,0x22011460,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcc0,13562600,srli,SHIFT,"a2, a2, 2",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x23d7966c,0x362155f2,0xd5c1c130,0x6347511d,0x2580b2c0,0x87f1ca5c,0x22011460,0x0,0x22011460,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcc4,33f8e600,and,LOGICAL,"a6, a3, a4",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x23d7966c,0x362155f2,0x3570704c,0x6347511d,0x2580b2c0,0x87f1ca5c,0x22011460,0x0,0x22011460,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcc8,b3c70701,xor,LOGICAL,"a5, a5, a6",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x23d7966c,0x362155f2,0x3570704c,0x6347511d,0x2580b2c0,0x87f1ca5c,0x21001000,0x0,0x22011460,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xccc,93962600,slli,SHIFT,"a3, a3, 2",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x23d7966c,0x362155f2,0x3570704c,0x6347511d,0x2580b2c0,0xa6f1da5c,0x21001000,0x0,0x22011460,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcd0,93952500,slli,SHIFT,"a1, a1, 2",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x23d7966c,0x362155f2,0x3570704c,0x8d1d4474,0x2580b2c0,0xa6f1da5c,0x21001000,0x0,0x22011460,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcd4,33f8b600,and,LOGICAL,"a6, a3, a1",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x23d7966c,0xd88557c8,0x3570704c,0x8d1d4474,0x2580b2c0,0xa6f1da5c,0x21001000,0x0,0x22011460,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcd8,93d62600,srli,SHIFT,"a3, a3, 2",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x23d7966c,0xd88557c8,0x3570704c,0x8d1d4474,0x2580b2c0,0xa6f1da5c,0x88054440,0x0,0x22011460,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcdc,93d52500,srli,SHIFT,"a1, a1, 2",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x23d7966c,0xd88557c8,0x3570704c,0x2347511d,0x2580b2c0,0xa6f1da5c,0x88054440,0x0,0x22011460,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xce0,93972700,slli,SHIFT,"a5, a5, 2",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x23d7966c,0x362155f2,0x3570704c,0x2347511d,0x2580b2c0,0xa6f1da5c,0x88054440,0x0,0x22011460,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xce4,b3c70701,xor,LOGICAL,"a5, a5, a6",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x23d7966c,0x362155f2,0x3570704c,0x2347511d,0x2580b2c0,0x9bc76970,0x88054440,0x0,0x22011460,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xce8,93d72700,srli,SHIFT,"a5, a5, 2",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x23d7966c,0x362155f2,0x3570704c,0x2347511d,0x2580b2c0,0x13c22d30,0x88054440,0x0,0x22011460,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcec,33480801,xor,LOGICAL,"a6, a6, a6",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x23d7966c,0x362155f2,0x3570704c,0x2347511d,0x2580b2c0,0x4f08b4c,0x88054440,0x0,0x22011460,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcf0,13850700,mv,ARITHMETIC,"a0, a5",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x23d7966c,0x362155f2,0x3570704c,0x2347511d,0x2580b2c0,0x4f08b4c,0x0,0x0,0x22011460,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcf4,67800000,ret,UBRANCH,,0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x4f08b4c,0x362155f2,0x3570704c,0x2347511d,0x2580b2c0,0x4f08b4c,0x0,0x0,0x22011460,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
